,AAPL_pred
2022-05-03,5.05694377279913
2022-05-04,5.097133513523466
2022-05-05,5.039804995598622
2022-05-06,5.044520983287188
2022-05-09,5.010768443597353
2022-05-10,5.02675227360548
2022-05-11,4.973518973228423
2022-05-12,4.946256373937048
2022-05-13,4.977673978297701
2022-05-16,4.966944137891214
2022-05-17,4.992049229953738
2022-05-18,4.933975977456244
2022-05-19,4.909025804738734
2022-05-20,4.910771570082137
2022-05-23,4.950106950603899
2022-05-24,4.9307038422371425
2022-05-25,4.931843329795929
2022-05-26,4.954777734146524
2022-05-27,4.994725920528073
2022-05-31,4.989365355473577
2022-06-01,4.988491592441034
2022-06-02,5.005162991552884
2022-06-03,4.9658445069998915
2022-06-06,4.971058340739154
2022-06-07,4.988491592441034
2022-06-08,4.983435415981662
2022-06-09,4.946817324930694
2022-06-10,4.907422715917276
2022-06-13,4.868385997717167
2022-06-14,4.875036335842738
2022-06-15,4.894948410502205
2022-06-16,4.8544892675476214
2022-06-17,4.865956151058836
2022-06-21,4.898191942676982
2022-06-22,4.894357586961331
2022-06-23,4.915701884532322
2022-06-24,4.939923241981753
2022-06-27,4.939923241981753
2022-06-28,4.909680950543923
2022-06-29,4.9226206618836805
2022-06-30,4.904428405283233
2022-07-01,4.920463744357425
2022-07-05,4.939217041995151
2022-07-06,4.948778395546873
2022-07-07,4.972494401372823
2022-07-08,4.9771980279759935
2022-07-11,4.962330287487414
2022-07-12,4.969140733060772
2022-07-13,4.966600513520178
2022-07-14,4.986876370746877
2022-07-15,4.9982614865953074
2022-07-18,4.977402064470627
2022-07-19,5.003773323906227
2022-07-20,5.017192726556222
2022-07-21,5.03217412012824
2022-07-22,5.0240301863201315
2022-07-25,5.016604382067808
2022-07-26,5.007739054887944
2022-07-27,5.041400639611768
2022-07-28,5.044966051203275
2022-07-29,5.077232870224434
2022-08-01,5.071060562403394
2022-08-02,5.061729833178266
2022-08-03,5.099264082531103
2022-08-04,5.097335945393239
2022-08-05,5.09594589663626
2022-08-08,5.0930386822202784
2022-08-09,5.0933419682868335
2022-08-10,5.11919935212755
